NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
GO_CELLULAR_RESPONSE_TO_HISTAMINE	8		Rejected!	
GO_MANGANESE_ION_TRANSMEMBRANE_TRANSPORT	9		Rejected!	
GO_SUCCINATE_TRANSMEMBRANE_TRANSPORT	7		Rejected!	
GO_HEMATOPOIETIC_STEM_CELL_PROLIFERATION	26	24		
GO_RRNA_CONTAINING_RIBONUCLEOPROTEIN_COMPLEX_EXPORT_FROM_NUCLEUS	15	15		
GO_REGULATION_OF_HISTONE_H3_K14_ACETYLATION	6		Rejected!	
GO_CELLULAR_RESPONSE_TO_HYDROPEROXIDE	8		Rejected!	
GO_CELLULAR_RESPONSE_TO_OXYGEN_RADICAL	28	25		
GO_CELLULAR_RESPONSE_TO_OXYGEN_LEVELS	234	219		
GO_CELLULAR_RESPONSE_TO_HYPEROXIA	7		Rejected!	
GO_PROTEIN_LOCALIZATION_TO_CHROMOSOME_CENTROMERIC_REGION	22	20		
GO_CELLULAR_RESPONSE_TO_PH	22	22		
GO_CELLULAR_RESPONSE_TO_ACIDIC_PH	12		Rejected!	
GO_CELLULAR_RESPONSE_TO_OSMOTIC_STRESS	42	42		
GO_CELLULAR_RESPONSE_TO_SALT_STRESS	12		Rejected!	
GO_CELLULAR_HYPEROSMOTIC_RESPONSE	15	15		
GO_CELLULAR_HYPEROSMOTIC_SALINITY_RESPONSE	7		Rejected!	
GO_CELLULAR_HYPOTONIC_RESPONSE	8		Rejected!	
GO_CELLULAR_RESPONSE_TO_RADIATION	187	179		
GO_CELLULAR_RESPONSE_TO_IONIZING_RADIATION	68	65		
GO_CELLULAR_RESPONSE_TO_GAMMA_RADIATION	30	27		
GO_CELLULAR_RESPONSE_TO_X_RAY	12		Rejected!	
GO_CELLULAR_RESPONSE_TO_LIGHT_STIMULUS	128	122		
GO_CELLULAR_RESPONSE_TO_UV_B	8		Rejected!	
GO_CELLULAR_RESPONSE_TO_UV_C	7		Rejected!	
GO_CELLULAR_RESPONSE_TO_ENDOGENOUS_STIMULUS	1406		Rejected!	
GO_CELLULAR_RESPONSE_TO_EXTERNAL_STIMULUS	326	313		
GO_CELLULAR_RESPONSE_TO_FLUID_SHEAR_STRESS	21	18		
GO_CELLULAR_RESPONSE_TO_LAMINAR_FLUID_SHEAR_STRESS	8		Rejected!	
GO_CELLULAR_RESPONSE_TO_NITROSATIVE_STRESS	6		Rejected!	
GO_CELLULAR_RESPONSE_TO_STEROL_DEPLETION	15	15		
GO_CELLULAR_RESPONSE_TO_TEMPERATURE_STIMULUS	5		Rejected!	
GO_RESPONSE_TO_HEPARIN	6		Rejected!	
GO_CELLULAR_RESPONSE_TO_HEPARIN	5		Rejected!	
GO_GENETIC_IMPRINTING	27	26		
GO_SEMAPHORIN_PLEXIN_SIGNALING_PATHWAY	40	40		
GO_DOPAMINERGIC_NEURON_DIFFERENTIATION	37	36		
GO_DIPHOSPHOINOSITOL_POLYPHOSPHATE_METABOLIC_PROCESS	5		Rejected!	
GO_INOSITOL_PHOSPHATE_CATABOLIC_PROCESS	18	17		
GO_RESPONSE_TO_DEXAMETHASONE	41	41		
GO_CELLULAR_RESPONSE_TO_DEXAMETHASONE_STIMULUS	31	31		
GO_DEATH_INDUCING_SIGNALING_COMPLEX_ASSEMBLY	9		Rejected!	
GO_HISTONE_H3_K27_DEMETHYLATION	5		Rejected!	
GO_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA	258	242		
GO_PROTEIN_UFMYLATION	6		Rejected!	
GO_ZINC_ION_IMPORT_ACROSS_PLASMA_MEMBRANE	8		Rejected!	
GO_LYMPHOCYTE_AGGREGATION	5		Rejected!	
GO_OTIC_VESICLE_DEVELOPMENT	16	15		
GO_OTIC_VESICLE_MORPHOGENESIS	10		Rejected!	
GO_TRANSFORMING_GROWTH_FACTOR_BETA_PRODUCTION	38	37		
GO_MONOCYTE_CHEMOTACTIC_PROTEIN_1_PRODUCTION	18		Rejected!	
GO_MACROPHAGE_INFLAMMATORY_PROTEIN_1_ALPHA_PRODUCTION	6		Rejected!	
GO_CHEMOKINE_C_C_MOTIF_LIGAND_5_PRODUCTION	11		Rejected!	
GO_GRANULOCYTE_COLONY_STIMULATING_FACTOR_PRODUCTION	5		Rejected!	
GO_GRANULOCYTE_CHEMOTAXIS	126	117		
GO_REGULATION_OF_GRANULOCYTE_CHEMOTAXIS	52	49		
GO_POSITIVE_REGULATION_OF_GRANULOCYTE_CHEMOTAXIS	29	28		
GO_VOCALIZATION_BEHAVIOR	19	19		
GO_NEGATIVE_REGULATION_OF_TRANSFORMING_GROWTH_FACTOR_BETA_PRODUCTION	9		Rejected!	
GO_POSITIVE_REGULATION_OF_TRANSFORMING_GROWTH_FACTOR_BETA_PRODUCTION	20	19		
GO_NEGATIVE_REGULATION_OF_MONOCYTE_CHEMOTACTIC_PROTEIN_1_PRODUCTION	6		Rejected!	
GO_POSITIVE_REGULATION_OF_MONOCYTE_CHEMOTACTIC_PROTEIN_1_PRODUCTION	12		Rejected!	
GO_POSITIVE_REGULATION_OF_CHEMOKINE_C_C_MOTIF_LIGAND_5_PRODUCTION	6		Rejected!	
GO_SMOOTH_MUSCLE_CELL_CHEMOTAXIS	10		Rejected!	
GO_REGULATION_OF_SMOOTH_MUSCLE_CELL_CHEMOTAXIS	8		Rejected!	
GO_NEGATIVE_REGULATION_OF_SMOOTH_MUSCLE_CELL_CHEMOTAXIS	5		Rejected!	
GO_MONONUCLEAR_CELL_MIGRATION	96	88		
GO_REGULATION_OF_MONONUCLEAR_CELL_MIGRATION	51	49		
GO_NEGATIVE_REGULATION_OF_MONONUCLEAR_CELL_MIGRATION	8		Rejected!	
GO_POSITIVE_REGULATION_OF_MONONUCLEAR_CELL_MIGRATION	25	25		
GO_COMMISSURAL_NEURON_AXON_GUIDANCE	12		Rejected!	
GO_RESPONSE_TO_INDOLE_3_METHANOL	5		Rejected!	
GO_ORGANISM_EMERGENCE_FROM_PROTECTIVE_STRUCTURE	29	29		
GO_MAINTENANCE_OF_PROTEIN_LOCATION_IN_EXTRACELLULAR_REGION	7		Rejected!	
GO_ANATOMICAL_STRUCTURE_MATURATION	234	225		
GO_ECTODERMAL_PLACODE_DEVELOPMENT	13		Rejected!	
GO_TUMOR_NECROSIS_FACTOR_SUPERFAMILY_CYTOKINE_PRODUCTION	183	156		
GO_BASEMENT_MEMBRANE_ORGANIZATION	30	30		
GO_ER_ASSOCIATED_MISFOLDED_PROTEIN_CATABOLIC_PROCESS	12		Rejected!	
GO_RESPONSE_TO_DIACYL_BACTERIAL_LIPOPEPTIDE	6		Rejected!	
GO_RESPONSE_TO_NITRIC_OXIDE	20	19		
GO_CELLULAR_RESPONSE_TO_NITRIC_OXIDE	16	15		
GO_NUCLEAR_MEMBRANE_ORGANIZATION	6		Rejected!	
GO_RESPONSE_TO_BMP	168	158		
GO_RESPONSE_TO_FIBROBLAST_GROWTH_FACTOR	153	141		
GO_ENDOPLASMIC_RETICULUM_TUBULAR_NETWORK_ORGANIZATION	18	17		
GO_RESPONSE_TO_PROSTAGLANDIN_D	5		Rejected!	
GO_PODOSOME_ASSEMBLY	19	19		
GO_REGULATION_OF_PODOSOME_ASSEMBLY	15	15		
GO_POSITIVE_REGULATION_OF_PODOSOME_ASSEMBLY	11		Rejected!	
GO_PROTEIN_TRANSMEMBRANE_TRANSPORT	60	58		
GO_TAIL_ANCHORED_MEMBRANE_PROTEIN_INSERTION_INTO_ER_MEMBRANE	6		Rejected!	
GO_PROTEIN_DNA_COMPLEX_SUBUNIT_ORGANIZATION	282	201		
GO_PROTEIN_LIPID_COMPLEX_SUBUNIT_ORGANIZATION	55	53		
GO_RIBONUCLEOPROTEIN_COMPLEX_SUBUNIT_ORGANIZATION	238	188		
GO_TRIGLYCERIDE_RICH_LIPOPROTEIN_PARTICLE_CLEARANCE	9		Rejected!	
GO_CELL_PROLIFERATION_IN_BONE_MARROW	11		Rejected!	
GO_APOPTOTIC_PROCESS_IN_BONE_MARROW_CELL	8		Rejected!	
GO_MITOTIC_CELL_CYCLE_ARREST	17	15		
GO_POSITIVE_REGULATION_OF_CELL_PROLIFERATION_IN_BONE_MARROW	8		Rejected!	
GO_NEGATIVE_REGULATION_OF_APOPTOTIC_PROCESS_IN_BONE_MARROW_CELL	6		Rejected!	
GO_RESPONSE_TO_CATECHOLAMINE	110	105		
GO_RESPONSE_TO_EPINEPHRINE	16	16		
GO_CELLULAR_RESPONSE_TO_EPINEPHRINE_STIMULUS	13		Rejected!	
GO_ADRENERGIC_RECEPTOR_SIGNALING_PATHWAY	32	27		
GO_NEGATIVE_REGULATION_OF_ADENYLATE_CYCLASE_ACTIVATING_ADRENERGIC_RECEPTOR_SIGNALING_PATHWAY	5		Rejected!	
GO_ADENYLATE_CYCLASE_INHIBITING_ADRENERGIC_RECEPTOR_SIGNALING_PATHWAY	5		Rejected!	
GO_LEUKOCYTE_APOPTOTIC_PROCESS	108	107		
GO_MACROPHAGE_APOPTOTIC_PROCESS	12		Rejected!	
GO_ODONTOBLAST_DIFFERENTIATION	5		Rejected!	
GO_PROTEIN_LOCALIZATION_TO_ADHERENS_JUNCTION	6		Rejected!	
GO_DNA_BIOSYNTHETIC_PROCESS	191	180		
GO_REGULATION_OF_PROTEIN_SERINE_THREONINE_KINASE_ACTIVITY	527	497		
GO_NEGATIVE_REGULATION_OF_PROTEIN_SERINE_THREONINE_KINASE_ACTIVITY	148	132		
GO_POSITIVE_REGULATION_OF_PROTEIN_SERINE_THREONINE_KINASE_ACTIVITY	345	332		
GO_DETERMINATION_OF_DIGESTIVE_TRACT_LEFT_RIGHT_ASYMMETRY	7		Rejected!	
GO_DETERMINATION_OF_LIVER_LEFT_RIGHT_ASYMMETRY	6		Rejected!	
GO_COHESIN_LOADING	6		Rejected!	
GO_REGULATION_OF_COHESIN_LOADING	5		Rejected!	
GO_ENDOCANNABINOID_SIGNALING_PATHWAY	6		Rejected!	
GO_PROTEIN_DEUBIQUITINATION_INVOLVED_IN_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS	7		Rejected!	
GO_EXTRACELLULAR_EXOSOME_ASSEMBLY	7		Rejected!	
GO_MULTIVESICULAR_BODY_SORTING_PATHWAY	41	37		
GO_NEPHRON_DEVELOPMENT	143	142		
GO_GLOMERULAR_MESANGIAL_CELL_DIFFERENTIATION	6		Rejected!	
GO_NEPHRON_EPITHELIUM_DEVELOPMENT	110	110		
GO_GLOMERULAR_EPITHELIUM_DEVELOPMENT	23	23		
GO_PROXIMAL_TUBULE_DEVELOPMENT	6		Rejected!	
GO_DISTAL_TUBULE_DEVELOPMENT	12		Rejected!	
GO_DISTAL_CONVOLUTED_TUBULE_DEVELOPMENT	5		Rejected!	
GO_NEPHRON_MORPHOGENESIS	77	77		
GO_RENAL_VESICLE_FORMATION	8		Rejected!	
GO_MESENCHYMAL_STEM_CELL_MAINTENANCE_INVOLVED_IN_NEPHRON_MORPHOGENESIS	6		Rejected!	
GO_COLLECTING_DUCT_DEVELOPMENT	15	15		
GO_COMMA_SHAPED_BODY_MORPHOGENESIS	6		Rejected!	
GO_S_SHAPED_BODY_MORPHOGENESIS	8		Rejected!	
GO_LOOP_OF_HENLE_DEVELOPMENT	10		Rejected!	
GO_KIDNEY_EPITHELIUM_DEVELOPMENT	142	142		
GO_KIDNEY_MESENCHYME_DEVELOPMENT	19	19		
GO_METANEPHRIC_MESENCHYME_DEVELOPMENT	15	15		
GO_NEPHRON_TUBULE_FORMATION	18	18		
GO_RENAL_VESICLE_DEVELOPMENT	20	20		
GO_STEM_CELL_PROLIFERATION	128	119		
GO_REGULATION_OF_STEM_CELL_PROLIFERATION	76	67		
GO_GLOMERULUS_MORPHOGENESIS	9		Rejected!	
GO_GLOMERULUS_VASCULATURE_MORPHOGENESIS	6		Rejected!	
GO_GLOMERULAR_MESANGIUM_DEVELOPMENT	16	15		
GO_GLOMERULAR_MESANGIAL_CELL_PROLIFERATION	11		Rejected!	
GO_CELL_PROLIFERATION_INVOLVED_IN_KIDNEY_DEVELOPMENT	21	20		
GO_POSITIVE_REGULATION_OF_GLOMERULAR_MESANGIAL_CELL_PROLIFERATION	6		Rejected!	
GO_MESENCHYME_MORPHOGENESIS	52	52		
GO_MESANGIAL_CELL_DEVELOPMENT	6		Rejected!	
GO_GLOMERULAR_MESANGIAL_CELL_DEVELOPMENT	5		Rejected!	
GO_EPITHELIAL_CELL_FATE_COMMITMENT	15		Rejected!	
GO_NEPHRON_TUBULE_EPITHELIAL_CELL_DIFFERENTIATION	15	15		
GO_MESENCHYMAL_CELL_DIFFERENTIATION_INVOLVED_IN_KIDNEY_DEVELOPMENT	8		Rejected!	
GO_METANEPHRIC_MESENCHYMAL_CELL_DIFFERENTIATION	5		Rejected!	
GO_MESONEPHRIC_TUBULE_MORPHOGENESIS	66	66		
GO_MESONEPHRIC_TUBULE_FORMATION	9		Rejected!	
GO_METANEPHRIC_TUBULE_MORPHOGENESIS	11		Rejected!	
GO_METANEPHRIC_TUBULE_FORMATION	6		Rejected!	
GO_EPITHELIAL_TUBE_FORMATION	133	132		
GO_NEPHRIC_DUCT_DEVELOPMENT	16	16		
GO_MESONEPHRIC_DUCT_DEVELOPMENT	9		Rejected!	
GO_NEPHRIC_DUCT_MORPHOGENESIS	12		Rejected!	
GO_NEPHRIC_DUCT_FORMATION	5		Rejected!	
GO_URETER_DEVELOPMENT	18	18		
GO_URETER_MORPHOGENESIS	7		Rejected!	
GO_NEGATIVE_REGULATION_OF_MESENCHYMAL_CELL_PROLIFERATION	8		Rejected!	
GO_CELL_DIFFERENTIATION_INVOLVED_IN_METANEPHROS_DEVELOPMENT	26	26		
GO_CELL_PROLIFERATION_INVOLVED_IN_METANEPHROS_DEVELOPMENT	10		Rejected!	
GO_METANEPHRIC_COLLECTING_DUCT_DEVELOPMENT	11		Rejected!	
GO_METANEPHRIC_EPITHELIUM_DEVELOPMENT	27	27		
GO_METANEPHRIC_NEPHRON_DEVELOPMENT	40	40		
GO_REGULATION_OF_METANEPHROS_DEVELOPMENT	23	23		
GO_POSITIVE_REGULATION_OF_METANEPHROS_DEVELOPMENT	14		Rejected!	
GO_NEGATIVE_REGULATION_OF_METANEPHROS_DEVELOPMENT	9		Rejected!	
GO_METANEPHRIC_GLOMERULAR_MESANGIUM_DEVELOPMENT	5		Rejected!	
GO_METANEPHRIC_GLOMERULUS_DEVELOPMENT	16	16		
GO_METANEPHRIC_DISTAL_TUBULE_DEVELOPMENT	7		Rejected!	
GO_METANEPHRIC_LOOP_OF_HENLE_DEVELOPMENT	5		Rejected!	
GO_METANEPHRIC_GLOMERULUS_VASCULATURE_DEVELOPMENT	8		Rejected!	
GO_METANEPHRIC_NEPHRON_EPITHELIUM_DEVELOPMENT	23	23		
GO_METANEPHRIC_NEPHRON_TUBULE_EPITHELIAL_CELL_DIFFERENTIATION	7		Rejected!	
GO_METANEPHRIC_NEPHRON_MORPHOGENESIS	26	26		
GO_METANEPHRIC_NEPHRON_TUBULE_MORPHOGENESIS	8		Rejected!	
GO_METANEPHRIC_RENAL_VESICLE_MORPHOGENESIS	16	16		
GO_METANEPHRIC_S_SHAPED_BODY_MORPHOGENESIS	6		Rejected!	
GO_REGULATION_OF_METANEPHRIC_GLOMERULUS_DEVELOPMENT	6		Rejected!	
GO_POSITIVE_REGULATION_OF_METANEPHRIC_GLOMERULUS_DEVELOPMENT	5		Rejected!	
GO_GLOMERULAR_EPITHELIAL_CELL_DEVELOPMENT	13		Rejected!	
GO_GLOMERULAR_EPITHELIAL_CELL_DIFFERENTIATION	20	20		
GO_VESICLE_UNCOATING	7		Rejected!	
GO_CHAPERONE_MEDIATED_PROTEIN_TRANSPORT	11		Rejected!	
GO_MONOCARBOXYLIC_ACID_CATABOLIC_PROCESS	138	135		
GO_MONOCARBOXYLIC_ACID_BIOSYNTHETIC_PROCESS	246	234		
GO_SIGNAL_TRANSDUCTION_BY_P53_CLASS_MEDIATOR	267	257		
GO_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_BY_P53_CLASS_MEDIATOR	78	75		
GO_MODIFIED_AMINO_ACID_TRANSPORT	27	27		
GO_RESCUE_OF_STALLED_RIBOSOME	5		Rejected!	
GO_SULFUR_COMPOUND_TRANSPORT	49	49		
GO_TRICARBOXYLIC_ACID_METABOLIC_PROCESS	14		Rejected!	
GO_CIRCULATORY_SYSTEM_DEVELOPMENT	1196		Rejected!	
GO_PROTEIN_ACTIVATION_CASCADE	28	28		
GO_ORGANELLE_TRANSPORT_ALONG_MICROTUBULE	85	82		
GO_MINUS_END_DIRECTED_ORGANELLE_TRANSPORT_ALONG_MICROTUBULE	5		Rejected!	
GO_PLUS_END_DIRECTED_ORGANELLE_TRANSPORT_ALONG_MICROTUBULE	8		Rejected!	
GO_MICROTUBULE_ANCHORING_AT_MICROTUBULE_ORGANIZING_CENTER	12		Rejected!	
GO_SIGNAL_TRANSDUCTION_INVOLVED_IN_CELL_CYCLE_CHECKPOINT	74	69		
GO_RESPONSE_TO_CELL_CYCLE_CHECKPOINT_SIGNALING	8		Rejected!	
GO_SIGNAL_TRANSDUCTION_INVOLVED_IN_G2_DNA_DAMAGE_CHECKPOINT	14		Rejected!	
GO_MESENCHYMAL_STEM_CELL_DIFFERENTIATION	8		Rejected!	
GO_EMBRYONIC_SKELETAL_JOINT_DEVELOPMENT	15	15		
GO_CELLULAR_DIVALENT_INORGANIC_ANION_HOMEOSTASIS	8		Rejected!	
GO_DIVALENT_INORGANIC_ANION_HOMEOSTASIS	12		Rejected!	
GO_DIVALENT_INORGANIC_CATION_HOMEOSTASIS	511	490		
GO_DIVALENT_INORGANIC_CATION_TRANSPORT	478	456		
GO_SEMINIFEROUS_TUBULE_DEVELOPMENT	12		Rejected!	
GO_PURINE_CONTAINING_COMPOUND_METABOLIC_PROCESS	471	429		
GO_PURINE_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS	207	175		
GO_PURINE_CONTAINING_COMPOUND_CATABOLIC_PROCESS	51	49		
GO_PYRIDINE_CONTAINING_COMPOUND_METABOLIC_PROCESS	41	38		
GO_PYRIDINE_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS	35	33		
GO_PYRIDINE_CONTAINING_COMPOUND_CATABOLIC_PROCESS	7		Rejected!	
GO_PYRIMIDINE_CONTAINING_COMPOUND_METABOLIC_PROCESS	85	80		
GO_PYRIMIDINE_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS	41	37		
GO_PYRIMIDINE_CONTAINING_COMPOUND_CATABOLIC_PROCESS	39	38		
GO_PURINE_CONTAINING_COMPOUND_TRANSMEMBRANE_TRANSPORT	10		Rejected!	
GO_PYRIMIDINE_CONTAINING_COMPOUND_TRANSMEMBRANE_TRANSPORT	12		Rejected!	
GO_FIBROBLAST_ACTIVATION	12		Rejected!	
GO_T_HELPER_17_TYPE_IMMUNE_RESPONSE	31	30		
GO_T_HELPER_17_CELL_LINEAGE_COMMITMENT	12		Rejected!	
GO_TERMINAL_BUTTON_ORGANIZATION	5		Rejected!	
GO_CHEMOKINE_C_X_C_MOTIF_LIGAND_1_PRODUCTION	5		Rejected!	
GO_CHEMOKINE_C_X_C_MOTIF_LIGAND_2_PRODUCTION	15		Rejected!	
GO_LIVER_MORPHOGENESIS	22	22		
GO_ENDOTHELIAL_CELL_APOPTOTIC_PROCESS	68	54		
GO_NEUROTRANSMITTER_GATED_ION_CHANNEL_CLUSTERING	13		Rejected!	
GO_CLATHRIN_DEPENDENT_ENDOCYTOSIS	45	45		
GO_CAVEOLIN_MEDIATED_ENDOCYTOSIS	12		Rejected!	
GO_OXYGEN_METABOLIC_PROCESS	6		Rejected!	
GO_REACTIVE_OXYGEN_SPECIES_METABOLIC_PROCESS	288	253		
GO_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ORGANELLE	582		Rejected!	
GO_MAINTENANCE_OF_PROTEIN_LOCALIZATION_IN_ORGANELLE	42	42		
GO_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM	121	109		
GO_MAINTENANCE_OF_PROTEIN_LOCATION_IN_MITOCHONDRION	5		Rejected!	
GO_PROTEIN_LOCALIZATION_TO_MEMBRANE	654		Rejected!	
GO_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE	281	272		
GO_PROTEIN_LOCALIZATION_TO_VACUOLE	68	66		
GO_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_VACUOLE	52	51		
GO_NEUTROPHIL_EXTRAVASATION	14		Rejected!	
GO_LAMELLIPODIUM_MORPHOGENESIS	17	17		
GO_MULTINUCLEAR_OSTEOCLAST_DIFFERENTIATION	8		Rejected!	
GO_OSTEOCLAST_FUSION	6		Rejected!	
GO_LYMPHOCYTE_MIGRATION	116	109		
GO_EOSINOPHIL_MIGRATION	22	21		
GO_T_CELL_MIGRATION	67	65		
GO_THYMOCYTE_MIGRATION	6		Rejected!	
GO_T_CELL_EXTRAVASATION	13		Rejected!	
GO_PROTEIN_LOCALIZATION_TO_CELL_CORTEX	11		Rejected!	
GO_RESPONSE_TO_SORBITOL	5		Rejected!	
GO_RESPONSE_TO_HYDROXYUREA	13		Rejected!	
GO_RESPONSE_TO_CISPLATIN	9		Rejected!	
GO_CELLULAR_RESPONSE_TO_CISPLATIN	6		Rejected!	
GO_RESPONSE_TO_STAUROSPORINE	5		Rejected!	
GO_MODULATION_BY_SYMBIONT_OF_HOST_AUTOPHAGY	7		Rejected!	
GO_POSITIVE_REGULATION_BY_SYMBIONT_OF_ENTRY_INTO_HOST	10		Rejected!	
GO_ENDOCYTOSIS_INVOLVED_IN_VIRAL_ENTRY_INTO_HOST_CELL	7		Rejected!	
GO_IRES_DEPENDENT_VIRAL_TRANSLATIONAL_INITIATION	10		Rejected!	
GO_VIRAL_TRANSLATIONAL_TERMINATION_REINITIATION	5		Rejected!	
GO_MRNA_METHYLATION	16	15		
GO_DNA_DEMETHYLATION	28	27		
GO_REGULATION_OF_RESPONSE_TO_STRESS	1538		Rejected!	
GO_REGULATION_OF_CELLULAR_RESPONSE_TO_STRESS	774		Rejected!	
GO_AMINO_ACID_HOMEOSTASIS	5		Rejected!	
GO_REGULATION_OF_FERTILIZATION	29	28		
GO_LYTIC_VACUOLE_ORGANIZATION	67	63		
GO_HISTONE_H3_K4_TRIMETHYLATION	21	18		
GO_RESPONSE_TO_PHENYLPROPANOID	5		Rejected!	
GO_PROTEIN_K6_LINKED_UBIQUITINATION	9		Rejected!	
GO_EXTRACELLULAR_MATRIX_ASSEMBLY	44	42		
GO_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL	75	68		
GO_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL_INVOLVED_IN_CONTRACTION	56	50		
GO_CARDIAC_MUSCLE_CELL_CONTRACTION	74	68		
GO_VENTRICULAR_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL	38	33		
GO_MEMBRANE_REPOLARIZATION	49	43		
GO_MEMBRANE_DEPOLARIZATION_DURING_ACTION_POTENTIAL	37	36		
GO_MEMBRANE_REPOLARIZATION_DURING_ACTION_POTENTIAL	31	25		
GO_MEMBRANE_DEPOLARIZATION_DURING_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL	23	22		
GO_CELL_CELL_SIGNALING_INVOLVED_IN_CARDIAC_CONDUCTION	32	30		
GO_ADENYLATE_CYCLASE_ACTIVATING_ADRENERGIC_RECEPTOR_SIGNALING_PATHWAY_INVOLVED_IN_HEART_PROCESS	11		Rejected!	
GO_ATRIAL_CARDIAC_MUSCLE_CELL_TO_AV_NODE_CELL_SIGNALING	20	19		
GO_BUNDLE_OF_HIS_CELL_TO_PURKINJE_MYOCYTE_SIGNALING	7		Rejected!	
GO_PURKINJE_MYOCYTE_TO_VENTRICULAR_CARDIAC_MUSCLE_CELL_SIGNALING	6		Rejected!	
GO_REGULATION_OF_CARDIAC_MUSCLE_CELL_MEMBRANE_POTENTIAL	7		Rejected!	
GO_CARDIAC_MUSCLE_CELL_CARDIAC_MUSCLE_CELL_ADHESION	7		Rejected!	
GO_MEMBRANE_DEPOLARIZATION_DURING_AV_NODE_CELL_ACTION_POTENTIAL	6		Rejected!	
GO_MEMBRANE_DEPOLARIZATION_DURING_SA_NODE_CELL_ACTION_POTENTIAL	5		Rejected!	
GO_CELL_COMMUNICATION_BY_ELECTRICAL_COUPLING_INVOLVED_IN_CARDIAC_CONDUCTION	24	24		
GO_CELL_COMMUNICATION_INVOLVED_IN_CARDIAC_CONDUCTION	56	54		
GO_AV_NODE_CELL_TO_BUNDLE_OF_HIS_CELL_COMMUNICATION	12		Rejected!	
GO_BUNDLE_OF_HIS_CELL_TO_PURKINJE_MYOCYTE_COMMUNICATION	14		Rejected!	
GO_SA_NODE_CELL_TO_ATRIAL_CARDIAC_MUSCLE_CELL_COMMUNICATION	10		Rejected!	
GO_REGULATION_OF_HEART_RATE_BY_CARDIAC_CONDUCTION	39	38		
GO_ENDOTHELIN_RECEPTOR_SIGNALING_PATHWAY	7		Rejected!	
GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY_INVOLVED_IN_HEART_PROCESS	16		Rejected!	
GO_L_HISTIDINE_TRANSMEMBRANE_TRANSPORT	6		Rejected!	
GO_PRIMITIVE_STREAK_FORMATION	10		Rejected!	
GO_REGULATION_OF_NEUTROPHIL_CHEMOTAXIS	33	31		
GO_REGULATION_OF_MONOCYTE_CHEMOTAXIS	26	25		
GO_POSITIVE_REGULATION_OF_MONOCYTE_CHEMOTAXIS	19	19		
GO_NEGATIVE_REGULATION_OF_MONOCYTE_CHEMOTAXIS	6		Rejected!	
GO_REGULATION_OF_STEROID_HORMONE_BIOSYNTHETIC_PROCESS	11		Rejected!	
GO_REGULATION_OF_PROTEIN_KINASE_C_SIGNALING	18	18		
GO_POSITIVE_REGULATION_OF_PROTEIN_KINASE_C_SIGNALING	10		Rejected!	
GO_TUBULIN_DEACETYLATION	13		Rejected!	
GO_REGULATION_OF_TUBULIN_DEACETYLATION	10		Rejected!	
GO_POSITIVE_REGULATION_OF_DEACETYLASE_ACTIVITY	8		Rejected!	
GO_REGULATION_OF_CELL_MIGRATION_INVOLVED_IN_SPROUTING_ANGIOGENESIS	87	37		
GO_POSITIVE_REGULATION_OF_CELL_MIGRATION_INVOLVED_IN_SPROUTING_ANGIOGENESIS	37	20		
GO_NEGATIVE_REGULATION_OF_CELL_MIGRATION_INVOLVED_IN_SPROUTING_ANGIOGENESIS	49	15		
GO_POSITIVE_REGULATION_OF_MICROTUBULE_NUCLEATION	5		Rejected!	
GO_REGULATION_OF_ANATOMICAL_STRUCTURE_SIZE	520	492		
GO_POSITIVE_REGULATION_OF_CELL_CYCLE_PROCESS	302	281		
GO_REGULATION_OF_RIBOSOME_BIOGENESIS	16	15		
GO_POSITIVE_REGULATION_OF_RIBOSOME_BIOGENESIS	10		Rejected!	
GO_NEGATIVE_REGULATION_OF_RIBOSOME_BIOGENESIS	5		Rejected!	
GO_RELAXATION_OF_MUSCLE	31	28		
GO_FOAM_CELL_DIFFERENTIATION	38	36		
GO_POSITIVE_REGULATION_OF_MAPKKK_CASCADE_BY_FIBROBLAST_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	5		Rejected!	
GO_REGULATION_OF_INCLUSION_BODY_ASSEMBLY	16	16		
GO_NEGATIVE_REGULATION_OF_INCLUSION_BODY_ASSEMBLY	11		Rejected!	
GO_REGULATION_OF_PROTEIN_DEUBIQUITINATION	12		Rejected!	
GO_REGULATION_OF_PEPTIDE_TRANSPORT	709		Rejected!	
